tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,wasm_tree,S,20000,0.1894444590001367,32524,32524,0.0048801750000566245,0.00020292699988931417,0.00002885500015690923,0.000013480000197887421
rdfjsdataset,tree,S,10000,0.15837798900017513,8704,8704,0.0026139619997702537,0.00036527100019156933,0.00004814200010150671,0.00003106299974024296
rdfjsdataset,graphy,S,1000000,5.4334568119999025,589848,589848,0.0007831399999558926,0.00032018399983644485,0.00004221999971196056,0.0000310850003734231
rdfjsdataset,tree,S,1000000,11.056121174999978,25600,25600,0.3435996860000305,0.0005906010000035167,0.00007860900042578578,0.00003311200020834804
rdfjsdataset,wasm_tree,S,10000,0.11826322799967602,12288,12288,0.00293368100002408,0.00023684899974614381,0.00003846399998292327,0.000015642999671399595
rdfjsdataset,tree,S,10000,0.18066127499984577,9216,9216,0.0028958560000173746,0.0003043139996007085,0.00005109299998730421,0.000028258000034838915
rdfjsstore,wasm_tree,POG,10000,0.09859179899981245,12096,0,0.0010068340003490449,0.005024269000161439,0.00019904900016263127,0.005150122000370174
rdfjsdataset,wasm_tree,S,40000,0.3190631450000219,41900,41900,0.009737639999948443,0.00021628799987956883,0.00003031600033864379,0.00001351199997588992
rdfjsstore,n3,POG,80000,0.5814038980002515,153444,0,0.02449814200028777,0.030962799000088127,0.03414415899990127,0.03970612599980086
rdfjsstore,n3,POG,20000,0.19389412599988282,64100,0,0.003965293999761343,0.006625485999975354,0.006345155000220985,0.00871894000004977
rdfjsdataset,tree,S,40000,0.5131879350002855,9216,9216,0.010918870999943465,0.00030027700029313563,0.00005315200006589294,0.000026314999908208847
rust,tree,S,1000000,2.984175348,151076,180116,0.198809054,0.000001255,0.000013837,0.000000583
rdfjsdataset,tree,S,1000000,11.156900969000068,25600,25600,0.33742180499993263,0.0004173220000229776,0.00007552600000053644,0.00003269800031557679
rdfjsstore,wasm_tree,POG,1000000,4.608319875000045,392264,0,0.011940231000073255,0.04675966100022197,0.006431109999772161,0.0330438249995932
rdfjsstore,wasm_tree,POG,40000,0.2689891659999266,41312,0,0.0010417769998311997,0.014856883999891579,0.0004828039999119937,0.006433836000040174
rdfjsdataset,wasm_tree,S,20000,0.1938557780003175,32524,32524,0.005422394999768585,0.00025230900011956694,0.00003314700024202466,0.000016747999936342238
rust,tree,S,100000,0.309924464,26904,28356,0.013147701,0.000001438,0.000012279,0.00000057
rdfjsstore,wasm_tree,POG,1000000,4.578713817000389,390476,0,0.011793977999594063,0.047803288999944925,0.006565391999669373,0.03233411199972033
rdfjsdataset,graphy,S,1000000,5.710008273999672,589336,589336,0.0008078269995748997,0.00039439400006085633,0.00006414799997583031,0.000028467999771237373
rdfjsstore,n3,POG,80000,0.5960662950002589,153104,0,0.024479873000178485,0.030726463000290097,0.037190089999698105,0.04308414499973878
rdfjsstore,n3,POG,1000000,6.6263304009996356,1276388,0,0.10192659600032493,0.1169744700002484,0.6490801659999416,0.663892649000045
rust,tree,S,80000,0.232902852,17472,19848,0.010726754,0.000001308,0.000012692,0.000000624
rdfjsstore,wasm_tree,POG,10000,0.08431802100036294,11776,0,0.0008455070001073181,0.00526968999998644,0.0001497880001552403,0.004103356000036001
rdfjsdataset,wasm_tree,S,10000,0.10654253999982029,12800,12800,0.0026186159998178482,0.0002039140001870692,0.000029828999657183884,0.000013597999699413776
rdfjsdataset,graphy,S,1000000,5.5582160919997845,594480,594480,0.0011305210003629328,0.0004604549999348819,0.00008513999963179231,0.00010546199977397919
rdfjsstore,n3,POG,1000000,6.787236708000302,1275936,0,0.10923028600029647,0.20463323000026867,0.2905020400001667,0.31068531899992374
rdfjsdataset,graphy,S,80000,0.529492273000069,67072,67072,0.0007852790001779794,0.0003201029999181628,0.00004344000015407801,0.00003111200034618378
rdfjsdataset,wasm_tree,S,40000,0.2807889930000529,41764,41764,0.010185901999939233,0.00023473899997770786,0.0000323399999178946,0.000013888999819755555
rdfjsstore,wasm_tree,POG,100000,0.5469146640002728,65484,0,0.0016552180000580848,0.01979414700018242,0.0006608339999802411,0.008338978999760003
rdfjsdataset,tree,S,80000,0.9432407240001485,9216,9216,0.022516875999979674,0.0003324799998663366,0.00005821100017055869,0.000026191999670118095
rust,tree,S,80000,0.229880596,17472,19848,0.010793,0.000001207,0.00001293,0.000000614
rdfjsdataset,tree,S,20000,0.29760768799996,9216,9216,0.005493886000011116,0.0003611300000920892,0.0000483920001424849,0.00002662999974563718
rdfjsdataset,graphy,S,80000,0.5614243780001998,70144,70144,0.0008503580000251531,0.00034666999988257883,0.000045805000234395266,0.00003426899993792176
rdfjsstore,wasm_tree,POG,10000,0.08441022300021724,11472,0,0.0009241879996843636,0.0035830909996293486,0.00012813599966466426,0.004252665000036359
rdfjsstore,n3,POG,1000000,6.931673673999962,1273364,0,0.10626280800020323,0.12226037500007078,0.28154573699971663,0.3147830799999647
rdfjsdataset,tree,S,80000,0.9584666200000793,8704,8704,0.022249694999773056,0.0003273579999804497,0.0000570730003528297,0.0000435890001244843
rdfjsdataset,wasm_tree,S,10000,0.10987356799980626,13824,13824,0.002832464000210166,0.0002139329998753965,0.00003123199986293912,0.000015063000377267598
rdfjsdataset,tree,S,100000,1.1802118529998697,25600,25600,0.02799074300006032,0.00032922999979928134,0.0000634570000693202,0.000026783000212162733
rdfjsstore,n3,POG,80000,0.6095137129998766,152924,0,0.02600330199999735,0.03328995899995789,0.03685501700034365,0.044545373000204565
rdfjsstore,n3,POG,1000000,6.730270210999995,1277616,0,0.1091533190002665,0.215988346000202,0.2841999640003778,0.30454023799998686
rdfjsdataset,graphy,S,10000,0.11721510400017723,12800,12800,0.000824664999730885,0.00033962900005280974,0.000043347000144422055,0.000034550999756902454
rdfjsdataset,graphy,S,80000,0.5256610940000974,67584,67584,0.0008313159998506308,0.00041425799997523425,0.000047313000075519085,0.00004870099993422627
rdfjsdataset,wasm_tree,S,20000,0.17681499599991365,32524,32524,0.004918058000039309,0.0002153349998407066,0.000030232000164687635,0.000017072999849915503
rdfjsstore,n3,POG,10000,0.11754662200016901,50180,0,0.005198137999977917,0.006067207999993116,0.001709660999942571,0.002589501000009477
rdfjsdataset,graphy,S,20000,0.20190163700003178,33280,33280,0.0008445299998857081,0.0003336999998427927,0.00004482199996709824,0.00003261799970641732
rdfjsstore,n3,POG,40000,0.3364636570001021,89616,0,0.010824901000130921,0.014935653999913484,0.005250560999847949,0.009351942999754101
rdfjsdataset,wasm_tree,S,40000,0.2846101639997214,42276,42276,0.010370546999853104,0.00022911799978464842,0.000032647000160068276,0.000014084999915212393
rdfjsdataset,wasm_tree,S,10000,0.10822370699979365,12800,12800,0.002620408999733627,0.00021704400004819035,0.000031857999972999096,0.000015589999966323374
rdfjsdataset,graphy,S,10000,0.3621808219999075,12288,12288,0.002763263000175357,0.0011614049999043345,0.00014417000021785497,0.00012419599993154407
rdfjsstore,wasm_tree,POG,20000,0.13661836599977686,16092,0,0.0008933799997903407,0.008560570999979972,0.00023901099991053342,0.00339776899991557
rdfjsdataset,tree,S,20000,0.29512257600016895,8704,8704,0.005608951000031084,0.0003000400001183152,0.00005597200011834502,0.000026710000354796647
rdfjsdataset,wasm_tree,S,100000,0.6421437569996342,67212,67212,0.025589736000169068,0.00026961699966341257,0.00003435999993234873,0.00001538599980995059
rdfjsdataset,graphy,S,10000,0.11943038100004197,12288,12288,0.0008332890002056957,0.00035269400011748075,0.000044939999934285876,0.00003500099992379546
rdfjsdataset,wasm_tree,S,80000,0.5237330769998952,59440,59440,0.021198950000107287,0.0002294689998961985,0.000033478000201284885,0.00001375899976119399
