dataset,nb_trees,file,nb_quads,memory_usage,loading_time
graphy,1,data/persondata_en_1M.ttl,999999,594600,5.486609722999856
tree,6,data/persondata_en_1M.ttl,999999,30476,12.576205260001123
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.250929527999833
wasm_tree,1,data/persondata_en_1M.ttl,999999,410164,5.3256006240006535
wasm_tree,6,data/persondata_en_1M.ttl,999999,409072,7.396236326999962
tree,1,data/persondata_en_1M.ttl,999999,30720,10.968517276000231
wasm_tree,1,data/persondata_en_1M.ttl,999999,410612,5.379328882999718
wasm_tree,6,data/persondata_en_1M.ttl,999999,407124,7.371103701001033
wasm_tree,1,data/persondata_en_1M.ttl,999999,412428,5.331706841001287
tree,6,data/persondata_en_1M.ttl,999999,30208,13.492891400998458
n3,3,data/persondata_en_1M.ttl,999999,1289488,6.961911643998698
graphy,1,data/persondata_en_1M.ttl,999999,596316,5.567563918000087
tree,1,data/persondata_en_1M.ttl,999999,30208,11.018405318001285
n3,3,data/persondata_en_1M.ttl,999999,1288396,6.999159987000748
tree,6,data/persondata_en_1M.ttl,999999,30580,12.780926319001242
tree,1,data/persondata_en_1M.ttl,999999,31152,10.955635953001678
graphy,1,data/persondata_en_1M.ttl,999999,599572,5.774469980999827
tree,1,data/persondata_en_1M.ttl,999999,31508,10.3900617270004
wasm_tree,1,data/persondata_en_1M.ttl,999999,409256,5.265894139999523
tree,6,data/persondata_en_1M.ttl,999999,31488,12.810206873999908
tree,1,data/persondata_en_1M.ttl,999999,31112,10.62294394800067
wasm_tree,6,data/persondata_en_1M.ttl,999999,408936,7.43826090100035
tree,1,data/persondata_en_1M.ttl,999999,30208,10.712570729998871
tree,1,data/persondata_en_1M.ttl,999999,31392,10.565569180000573
wasm_tree,6,data/persondata_en_1M.ttl,999999,407712,7.365482907999307
n3,3,data/persondata_en_1M.ttl,999999,1292060,6.989542470999062
tree,1,data/persondata_en_1M.ttl,999999,30984,10.662713633999228
tree,6,data/persondata_en_1M.ttl,999999,29696,13.290963220998645
tree,1,data/persondata_en_1M.ttl,999999,31124,11.168033407999202
tree,1,data/persondata_en_1M.ttl,999999,30856,10.422728623000905
tree,1,data/persondata_en_1M.ttl,999999,30192,10.860422106999904
graphy,1,data/persondata_en_1M.ttl,999999,593944,5.734550598999485
wasm_tree,1,data/persondata_en_1M.ttl,999999,411304,5.277855590999127
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.422372020000592
graphy,1,data/persondata_en_1M.ttl,999999,593944,5.587327035998926
tree,1,data/persondata_en_1M.ttl,999999,30720,11.702556193001568
tree,6,data/persondata_en_1M.ttl,999999,30892,13.065677788998931
graphy,1,data/persondata_en_1M.ttl,999999,596104,5.739894201001152
tree,6,data/persondata_en_1M.ttl,999999,31276,12.833248673999682
tree,1,data/persondata_en_1M.ttl,999999,30208,11.034006078001111
n3,3,data/persondata_en_1M.ttl,999999,1287888,6.950455787999555
wasm_tree,1,data/persondata_en_1M.ttl,999999,412240,5.172840691000223
tree,6,data/persondata_en_1M.ttl,999999,32096,13.002998724998907
graphy,1,data/persondata_en_1M.ttl,999999,596236,6.1504302250016485
