dataset,nb_trees,file,nb_quads,memory_usage,loading_time
graphy,1,data/persondata_en_1M.ttl,999999,594380,5.642589571999386
wasm_tree,1,data/persondata_en_1M.ttl,999999,411660,5.406181938000024
wasm_tree,1,data/persondata_en_1M.ttl,999999,411304,5.446704069999978
n3,3,data/persondata_en_1M.ttl,999999,1288076,6.8753088799994435
wasm_tree,6,data/persondata_en_1M.ttl,999999,407972,7.327316325999797
wasm_tree,6,data/persondata_en_1M.ttl,999999,408036,7.349211110999808
tree,6,data/persondata_en_1M.ttl,999999,30208,10.929061191998422
wasm_tree,6,data/persondata_en_1M.ttl,999999,408544,7.531744913998991
wasm_tree,6,data/persondata_en_1M.ttl,999999,407848,7.324977203998714
n3,3,data/persondata_en_1M.ttl,999999,1289812,6.886620616000146
tree,6,data/persondata_en_1M.ttl,999999,31180,11.033104189001024
graphy,1,data/persondata_en_1M.ttl,999999,598432,6.166855813998729
graphy,1,data/persondata_en_1M.ttl,999999,597664,5.477445379000157
n3,3,data/persondata_en_1M.ttl,999999,1284136,7.008730995999649
wasm_tree,1,data/persondata_en_1M.ttl,999999,410256,5.339790574999526
graphy,1,data/persondata_en_1M.ttl,999999,595984,5.5824655130002645
tree,6,data/persondata_en_1M.ttl,999999,31180,10.739330358000473
n3,3,data/persondata_en_1M.ttl,999999,1287892,7.061688518999144
tree,6,data/persondata_en_1M.ttl,999999,31828,11.088556072000413
wasm_tree,1,data/persondata_en_1M.ttl,999999,411348,5.510046970000491
wasm_tree,1,data/persondata_en_1M.ttl,999999,409768,5.259211082000285
tree,1,data/persondata_en_1M.ttl,999999,30208,10.97608842500113
graphy,1,data/persondata_en_1M.ttl,999999,598564,5.8342801379989835
tree,6,data/persondata_en_1M.ttl,999999,31020,10.8931196010001
wasm_tree,1,data/persondata_en_1M.ttl,999999,414300,5.614539977999404
n3,3,data/persondata_en_1M.ttl,999999,1287204,6.892834782000631
wasm_tree,6,data/persondata_en_1M.ttl,999999,407660,7.326678181000054
n3,3,data/persondata_en_1M.ttl,999999,1274572,7.01325837700069
tree,1,data/persondata_en_1M.ttl,999999,31012,10.869569225000218
n3,3,data/persondata_en_1M.ttl,999999,1287456,7.028289601000026
wasm_tree,1,data/persondata_en_1M.ttl,999999,410584,5.216380725000054
tree,1,data/persondata_en_1M.ttl,999999,31008,11.100446161000058
tree,1,data/persondata_en_1M.ttl,999999,31464,10.752942880999298
n3,3,data/persondata_en_1M.ttl,999999,1275232,7.5264894759990275
tree,6,data/persondata_en_1M.ttl,999999,30576,10.98228317099996
tree,6,data/persondata_en_1M.ttl,999999,31536,10.837080610999838
graphy,1,data/persondata_en_1M.ttl,999999,597700,5.5174641989991065
wasm_tree,1,data/persondata_en_1M.ttl,999999,410096,5.4312171860001985
tree,1,data/persondata_en_1M.ttl,999999,31404,11.19654205599986
graphy,1,data/persondata_en_1M.ttl,999999,593432,5.552346997000277
graphy,1,data/persondata_en_1M.ttl,999999,594456,5.640158800000325
graphy,1,data/persondata_en_1M.ttl,999999,595656,5.575702365001663
wasm_tree,6,data/persondata_en_1M.ttl,999999,407352,7.33052671200037
n3,3,data/persondata_en_1M.ttl,999999,1286432,6.938061622999609
wasm_tree,6,data/persondata_en_1M.ttl,999999,406584,7.226151837000623
tree,6,data/persondata_en_1M.ttl,999999,31180,10.704090906001628
wasm_tree,6,data/persondata_en_1M.ttl,999999,406676,7.62704699399881
tree,6,data/persondata_en_1M.ttl,999999,30208,10.799273128999397
tree,6,data/persondata_en_1M.ttl,999999,30720,10.727540361000225
tree,1,data/persondata_en_1M.ttl,999999,30208,10.856221356000752
n3,3,data/persondata_en_1M.ttl,999999,1287548,6.954869730001316
wasm_tree,1,data/persondata_en_1M.ttl,999999,410076,5.346730550000444
tree,1,data/persondata_en_1M.ttl,999999,31944,10.596087081000208
graphy,1,data/persondata_en_1M.ttl,999999,595188,5.867284246999771
wasm_tree,1,data/persondata_en_1M.ttl,999999,409256,5.281288476999849
wasm_tree,6,data/persondata_en_1M.ttl,999999,406916,7.352383502999321
tree,6,data/persondata_en_1M.ttl,999999,31796,10.953095639999956
wasm_tree,1,data/persondata_en_1M.ttl,999999,410792,5.334889336999506
graphy,1,data/persondata_en_1M.ttl,999999,596696,5.588252913000062
tree,6,data/persondata_en_1M.ttl,999999,30208,11.072691669000312
tree,1,data/persondata_en_1M.ttl,999999,31128,11.051329380998387
tree,6,data/persondata_en_1M.ttl,999999,31224,10.792570339001715
n3,3,data/persondata_en_1M.ttl,999999,1287908,6.783866998000071
tree,1,data/persondata_en_1M.ttl,999999,30720,10.729997804000973
n3,3,data/persondata_en_1M.ttl,999999,1288600,7.5693526769988235
wasm_tree,1,data/persondata_en_1M.ttl,999999,410088,5.253948323000222
n3,3,data/persondata_en_1M.ttl,999999,1273872,7.0097313260007645
wasm_tree,1,data/persondata_en_1M.ttl,999999,411440,5.385168623998761
n3,3,data/persondata_en_1M.ttl,999999,1286432,7.668042651001364
n3,3,data/persondata_en_1M.ttl,999999,1287516,6.849435363000259
tree,1,data/persondata_en_1M.ttl,999999,31184,11.067902770999819
wasm_tree,1,data/persondata_en_1M.ttl,999999,410792,5.286710105998441
tree,6,data/persondata_en_1M.ttl,999999,31236,10.891643277999014
tree,1,data/persondata_en_1M.ttl,999999,30984,11.085201716000213
tree,1,data/persondata_en_1M.ttl,999999,31276,10.61945293200016
wasm_tree,1,data/persondata_en_1M.ttl,999999,413352,5.274287350999192
tree,6,data/persondata_en_1M.ttl,999999,30208,10.836015104999765
tree,1,data/persondata_en_1M.ttl,999999,30720,10.484848670000211
tree,6,data/persondata_en_1M.ttl,999999,30208,11.114833004999905
wasm_tree,1,data/persondata_en_1M.ttl,999999,411336,5.194933497000486
graphy,1,data/persondata_en_1M.ttl,999999,594456,5.5644236130006615
wasm_tree,6,data/persondata_en_1M.ttl,999999,407660,7.304381718000397
tree,6,data/persondata_en_1M.ttl,999999,30720,10.840521105999127
graphy,1,data/persondata_en_1M.ttl,999999,596192,6.159670475998893
tree,1,data/persondata_en_1M.ttl,999999,31088,10.575171933999284
n3,3,data/persondata_en_1M.ttl,999999,1289076,6.852788859998808
wasm_tree,1,data/persondata_en_1M.ttl,999999,410928,5.2819031399991365
wasm_tree,6,data/persondata_en_1M.ttl,999999,408480,7.335312381999567
wasm_tree,6,data/persondata_en_1M.ttl,999999,409080,7.5133652029987426
graphy,1,data/persondata_en_1M.ttl,999999,594980,5.582748689999804
wasm_tree,1,data/persondata_en_1M.ttl,999999,411876,5.254935072999448
wasm_tree,6,data/persondata_en_1M.ttl,999999,407792,7.28878828000091
n3,3,data/persondata_en_1M.ttl,999999,1277260,7.01668837999925
n3,3,data/persondata_en_1M.ttl,999999,1280728,7.008820342000574
n3,3,data/persondata_en_1M.ttl,999999,1287968,6.888728466000408
tree,1,data/persondata_en_1M.ttl,999999,31904,11.247247068000958
wasm_tree,1,data/persondata_en_1M.ttl,999999,410768,5.255159738000482
tree,6,data/persondata_en_1M.ttl,999999,31224,11.147813351999968
wasm_tree,6,data/persondata_en_1M.ttl,999999,408096,7.304330420000479
wasm_tree,1,data/persondata_en_1M.ttl,999999,410544,5.188315847000107
tree,6,data/persondata_en_1M.ttl,999999,30720,10.639739218000322
wasm_tree,6,data/persondata_en_1M.ttl,999999,408064,7.980891439000144
tree,1,data/persondata_en_1M.ttl,999999,31536,10.703098691999912
tree,1,data/persondata_en_1M.ttl,999999,30208,11.627748273998499
n3,3,data/persondata_en_1M.ttl,999999,1290008,7.699241665000096
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.292367410998791
tree,6,data/persondata_en_1M.ttl,999999,30720,10.388583097999916
