tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,wrap_tree,S,1000000,10.50365391000011,25600,26112,0.3446289539998397,0.0025661979999858885,0.00002710000006482005,0.000027735000010579826
rdfjsstore,wasm_tree,S,40000,0.254758182000136,41168,0,0.010687446000054479,0.010779311000136658,0.0000751049998216331,0.00011055799992755056
rdfjsdataset,wrap_tree,S,10000,0.1607417100002058,9216,12800,0.002707153000170365,0.0020635430000256745,0.000026863999897614122,0.00002854300010949373
rdfjsdataset,tree,S,1000000,10.329215429999866,25600,25600,0.3384550070001278,0.0005237030000425875,0.00002623499999754131,0.000008776000002399087
rdfjsdataset,graphy,S,20000,0.23001283299992792,32768,35328,0.0008083279998973012,0.0003359920000657439,0.000007285000057891011,0.000004292000085115433
rdfjsdataset,wasm_tree,S,80000,0.500710638999939,60464,60464,0.020495455000083894,0.00023391900002025067,0.000002986999927088618,7.600001990795135e-7
rdfjsdataset,tree,S,500000,5.774419481000164,25600,25600,0.00008831300004385411,0.0001612019999884069,0.000003127999836578965,0.0000013540000654757024
rdfjsdataset,graphy,S,40000,0.3400285720000975,45568,45568,0.0008713400000706315,0.0003526699999347329,0.00000827899994328618,0.000004668999928981066
rdfjsdataset,graphy,S,1000000,5.91554658500012,588824,591384,0.000796606000047177,0.00032454499998129906,0.000008350000018253922,0.000005021000048145652
rdfjsstore,n3,S,10000,0.12048479500017129,50564,0,0.00400409399997443,0.004094282999867574,0.0011022240000311285,0.0011398099998477847
rdfjsdataset,wasm_tree,S,20000,0.1970942090000026,33036,33036,0.005347705000080168,0.00023263400001451374,0.0000034489999525249006,0.000001829999964684248
rdfjsdataset,tree,S,80000,0.8884171480000951,25600,25600,0.02207215099991299,0.00032729899999685584,0.000023597999941557647,0.000010969999944791197
rdfjsdataset,graphy,S,40000,0.3098154360000044,46080,46080,0.0007753340001218021,0.00040321899997070433,0.000007279000012204051,0.000004008000018075108
rdfjsstore,n3,S,10000,0.11459709400008433,51060,0,0.004172156000044197,0.004248888999922201,0.0008778869998641312,0.0009080039998516441
rdfjsstore,n3,S,10000,0.12139950800011866,50552,0,0.0039001060000155123,0.003984476000070572,0.0009704420000780374,0.0010031910000834613
rdfjsdataset,wasm_tree,S,80000,0.495684670999879,60976,60976,0.020017949000000954,0.00023877299996092916,0.0000030580000020563603,7.929999846965075e-7
rdfjsdataset,graphy,S,100000,0.6253072669999674,78092,80140,0.0007780349999666214,0.00031504199979826806,0.000006916000042110681,0.0000037239999510347844
rdfjsdataset,graphy,S,10000,0.11758130900003017,12800,30720,0.0007784510001074522,0.00031839299993589523,0.000007936999900266528,0.0000036299999337643384
