tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,graphy,S,10000,0.117919573999941,13312,13312,0.000787573000416,0.000319428998977,3.88019997626543E-05,3.50379999727011E-05
rdfjsdataset,graphy,S,10000,0.114697659000754,13312,13312,0.000768021000549,0.000321778999642,3.91719993203878E-05,3.21730002760887E-05
rdfjsdataset,graphy,S,10000,0.112144047997892,12288,12288,0.000770757000893,0.000313029997051,3.93579974770546E-05,3.22160013020039E-05
rdfjsdataset,graphy,S,10000,0.114281456001103,13312,13312,0.000869281999767,0.000389115000144,3.93879991024733E-05,3.43309994786978E-05
rdfjsdataset,graphy,S,10000,0.115367110997438,12288,12288,0.000770691998303,0.000320784997195,3.97500023245811E-05,3.2150000333786E-05
rdfjsdataset,graphy,S,10000,0.118598053999245,12288,12288,0.000782158998773,0.000397638000548,3.98300010710955E-05,3.42979989945888E-05
rdfjsdataset,graphy,S,10000,0.115955085000023,13844,13844,0.000952360998839,0.000319680999964,3.99229992181063E-05,3.3882999792695E-05
rdfjsdataset,graphy,S,10000,0.114782027002424,13312,13312,0.000796765998006,0.000315692000091,3.99420000612736E-05,2.97110006213188E-05
rdfjsdataset,graphy,S,10000,0.113677726000547,14360,14360,0.000785754002631,0.000321262996644,3.99959981441498E-05,3.18890027701855E-05
rdfjsdataset,graphy,S,10000,0.115575438000262,12800,12800,0.000809865999967,0.000339488998055,4.00529988110065E-05,3.24629992246628E-05
rdfjsdataset,graphy,S,10000,0.115588133998215,13824,13824,0.000860463000834,0.000327456001192,4.00559976696968E-05,3.17340008914471E-05
rdfjsdataset,graphy,S,10000,0.116048932000995,13312,13312,0.000844357002527,0.000324464000762,4.01119999587536E-05,3.21639999747276E-05
rdfjsdataset,graphy,S,10000,0.113215062998235,13312,13312,0.000803820997477,0.000316194001585,4.01450023055077E-05,3.24629992246628E-05
rdfjsdataset,graphy,S,10000,0.119053275000304,12288,12288,0.0008740260005,0.000308297000825,4.03899997472763E-05,2.90479995310306E-05
rdfjsdataset,graphy,S,10000,0.113155187001452,12288,12288,0.00079716300033,0.000323900999501,4.04119994491339E-05,3.06959990411997E-05
rdfjsdataset,graphy,S,10000,0.112927294000983,12288,12288,0.000865505998954,0.000320833999664,4.04640007764101E-05,3.23740001767874E-05
rdfjsdataset,graphy,S,10000,0.118639240998775,12288,12288,0.000778276000172,0.000318739999086,4.04819995164871E-05,3.37029993534088E-05
rdfjsdataset,graphy,S,10000,0.116015224998817,12800,12800,0.000857494998723,0.000333195000887,4.05600015074015E-05,3.10440007597208E-05
rdfjsdataset,graphy,S,10000,0.11391600099951,12800,12800,0.000976159999147,0.000332383999601,4.05800007283688E-05,3.16549986600876E-05
rdfjsdataset,graphy,S,10000,0.113910724001005,14336,14336,0.000763388998806,0.000309476999566,4.07699998468161E-05,2.95520015060902E-05
rdfjsdataset,graphy,S,10000,0.116797412998974,14336,14336,0.000778261000291,0.000316222000867,4.09270003437996E-05,3.00810001790523E-05
rdfjsdataset,graphy,S,10000,0.114862824000418,12800,12800,0.000772361002862,0.000315230000764,4.09590005874634E-05,3.09519991278648E-05
rdfjsdataset,graphy,S,10000,0.115864825999364,12800,12800,0.000920672001317,0.000411722999066,4.11249995231628E-05,3.35280001163483E-05
rdfjsdataset,graphy,S,10000,0.115095228001475,13312,13312,0.000795061998069,0.000315609999001,4.11910004913807E-05,2.97599993646145E-05
rdfjsdataset,graphy,S,10000,0.120110955998302,12800,12800,0.000880513999611,0.000398446001112,4.13359999656677E-05,3.59250009059906E-05
rdfjsdataset,graphy,S,10000,0.117242700999603,13312,13312,0.000800576001406,0.000363735999912,4.13659997284412E-05,3.35879996418953E-05
rdfjsdataset,graphy,S,10000,0.118135960999876,13312,13312,0.000845076000318,0.000350934000686,4.13920003920793E-05,3.27869988977909E-05
rdfjsdataset,graphy,S,10000,0.114258528999984,13312,13312,0.000867187000811,0.000324205998331,4.14250008761883E-05,2.99559980630875E-05
rdfjsdataset,graphy,S,10000,0.117565227000043,12800,12800,0.000789178000763,0.000329167999327,4.14840001612902E-05,3.42259984463453E-05
rdfjsdataset,graphy,S,10000,0.116421664999798,13312,13312,0.000775406999514,0.000317476000637,4.14870008826256E-05,3.19760013371706E-05
rdfjsdataset,graphy,S,10000,0.11799904499948,13824,13824,0.000871008999646,0.000346962001175,4.1508000344038E-05,3.09219993650913E-05
rdfjsdataset,graphy,S,10000,0.114340010000393,12800,12800,0.000778030000627,0.000319530999288,4.15139999240637E-05,3.1445000320673E-05
