tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,wrap_tree,S,40000,0.4802747059999965,9792,9792,0.010933627000078558,0.0018915170000400395,0.000058630999876186255,0.00023980399989522995
rdfjsstore,wasm_tree,POG,1000000,4.526844049999956,390444,0,0.012140120000112801,0.04536021300009452,0.006076599000021815,0.03026180099998601
rdfjsstore,n3,POG,1000000,6.565473441999871,1277280,0,0.10738718599989079,0.2092975419999566,0.28969947100011634,0.31299263500003144
rust,tree,S,80000,0.238863648,17472,19848,0.010651822,0.000001123,0.000012793,0.000000594
rdfjsdataset,tree,S,20000,0.29574965400015935,9216,9216,0.0055547000002115965,0.0003045449999626726,0.00005164600000716746,0.0000268669999204576
rdfjsstore,wasm_tree,POG,10000,0.08594965199986472,12548,0,0.0008999390001408756,0.003368901000125334,0.0001236479999497533,0.004074672000017017
rdfjsstore,wasm_tree,POG,80000,0.4434601180001628,58168,0,0.0016052319998852908,0.01847850999981165,0.0005616160000208766,0.009281470000045373
rdfjsstore,n3,POG,20000,0.19427584999985992,63604,0,0.004109569000080228,0.006729695999994874,0.008956896000076086,0.012260767000028863
rdfjsstore,wasm_tree,POG,40000,0.26292158199986443,41232,0,0.0010453299998771399,0.015475729000056162,0.0004086590001825243,0.006152096000034362
rdfjsdataset,wrap_tree,S,40000,0.5132484770000446,9216,9216,0.011077958000125364,0.0019942079999018462,0.00005874200002290309,0.0002462519998662174
rdfjsdataset,wrap_tree,S,40000,0.5232413360001519,8704,8704,0.011221519999904558,0.0020308789999689907,0.00005986799998208881,0.00024342399998567997
rust,tree,S,20000,0.0617752,4916,5580,0.002425026,0.000001148,0.000013183,0.000000651
rust,tree,S,20000,0.058990244,4916,5580,0.002374634,0.000001024,0.00001237,0.000000548
rdfjsdataset,wrap_tree,S,10000,0.16825396099989304,9216,9216,0.0028458940000273287,0.0020617410000413655,0.00005874600005336106,0.000262137999990955
rdfjsdataset,wrap_tree,S,20000,0.29821780500002204,9216,9216,0.005571753000142053,0.002127108999993652,0.00005983099993318319,0.00026045599998906257
rdfjsdataset,tree,S,100000,1.2368727770000696,25600,25600,0.028008048000046984,0.0003873610000591725,0.00006200499995611608,0.000028458999935537577
rdfjsdataset,wasm_tree,S,10000,0.11102346200007014,13312,13312,0.0027205610000528395,0.00022165400022640825,0.00003280699998140335,0.000015162999974563718
rdfjsdataset,tree,S,1000000,11.306131955000106,25088,25088,0.3447685970000457,0.0004009709998499602,0.00007796999998390674,0.00003017399995587766
rdfjsdataset,graphy,S,40000,0.35671998500009067,46592,46592,0.0009018749999813735,0.00035501400008797646,0.00004482499998994172,0.00003323399997316301
rdfjsstore,n3,POG,40000,0.3486614260000642,89624,0,0.010578606000170111,0.016512656999984755,0.00561886000004597,0.012777442000107839
rdfjsdataset,graphy,S,1000000,5.6536598590000064,590008,590008,0.0008216119999997318,0.0003283130000345409,0.000044748000102117654,0.00003031499986536801
rdfjsstore,wasm_tree,POG,100000,0.5540433970000594,65464,0,0.0015782979999203234,0.016974537000060082,0.0007333399998024106,0.007938296999782324
rdfjsstore,wasm_tree,POG,10000,0.09292547699995339,12564,0,0.0008972509999293834,0.0034777720000129194,0.0001255439999513328,0.004096294999821112
rust,tree,S,80000,0.236541083,17472,19848,0.011041117,0.000001541,0.000012519,0.000000598
rust,tree,S,1000000,3.049408672,151076,180116,0.197611362,0.000001439,0.000013946,0.000000596
rdfjsdataset,graphy,S,20000,0.2010977800001856,33280,33280,0.000870617999928072,0.0003281140001490712,0.000041791999945417043,0.000031700999941676855
rdfjsstore,wasm_tree,POG,1000000,4.460656549999956,393888,0,0.011844121999805793,0.045969032999826596,0.0063992670001462105,0.03300982700008899
rdfjsdataset,tree,S,20000,0.2985260929998476,9216,9216,0.005406912999926135,0.0002913229998666793,0.000049801999935880306,0.000026698000030592083
rdfjsdataset,wrap_tree,S,10000,0.174072564000031,8704,8704,0.002730794999981299,0.001949108999921009,0.00005371199990622699,0.00024357599997892976
rdfjsstore,n3,POG,20000,0.1842102320000995,63300,0,0.0041449759998358785,0.006536148999817669,0.007177482000086457,0.009770970000186936
rdfjsdataset,graphy,S,1000000,5.653896130000009,588312,588312,0.0008285580000374466,0.00040186500013805927,0.00004422400007024407,0.000031427999958395955
rust,tree,S,1000000,2.9831899120000003,151076,180116,0.198362876,0.000001279,0.000013444,0.000000567
rdfjsdataset,graphy,S,20000,0.21176919100014494,33280,33280,0.0009139529999811203,0.0003660019999369979,0.00004856600007042289,0.00003637799993157387
rdfjsdataset,wrap_tree,S,1000000,11.681876187999732,25600,25600,0.33697833799989896,0.0022320139999501406,0.00007291499990969896,0.0003784819999709725
rdfjsstore,n3,POG,1000000,7.328080475999974,1276996,0,0.6720830029998905,0.6899991489998065,0.07708002200024203,0.09806525800004602
rdfjsstore,wasm_tree,POG,10000,0.08364331499999389,12260,0,0.0015256250002421438,0.00600507100019604,0.00015285000018775463,0.004148285999894142
rdfjsdataset,wrap_tree,S,80000,0.9541726240003482,9728,9728,0.022846795000135898,0.002087410000152886,0.00006273999996483326,0.0002508600000292063
