tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,tree,POG,40000,0.48747036199830474,9216,9216,0.012838703000918031,0.008930802000686527,0.012435886001214385,0.00606886500120163
rdfjsstore,n3,S,1000000,6.6806919069997965,1275104,0,0.11369509700126947,0.11375721800141037,0.11546024899929762,0.11548958100005985
rdfjsstore,n3,S,100000,0.7101734220013023,171244,0,0.00961621900089085,0.009690298000350595,0.00985216100141406,0.009893365001305937
rdfjsdataset,tree,POG,80000,0.8954419950004667,9216,9216,0.026539385000243783,0.015793201001361012,0.025886099999770523,0.010464176999405026
rdfjsdataset,wasm_tree,POG,1000000,5.3739921849984675,404648,408776,0.012522693000733852,0.012668359000235796,0.006818468999117613,0.004749288000166416
rdfjsdataset,graphy,POG,1000000,5.637291151998564,588824,692872,0.225753363000229,0.11127252499945461,0.13554662699997425,0.07698569400049746
rdfjsstore,wasm_tree,POG,500000,2.305911873999983,206368,0,0.0065061750002205375,0.030865857999771835,0.0036351969987154006,0.01841457000002265
rdfjsdataset,tree,POG,40000,0.5170747580006718,9216,9216,0.013495079999789595,0.009991750000044703,0.012903878001496196,0.006681530000641942
rdfjsdataset,wasm_tree,S,100000,0.6183902759999037,67212,67212,0.026172607000917197,0.00024361900053918362,0.000033397000283002855,0.00001411299966275692
rdfjsdataset,tree,S,10000,0.17861577799916267,9216,9216,0.0028783080000430346,0.00030333499982953074,0.000050924001261591914,0.000028440000489354134
rdfjsdataset,wasm_tree,POG,80000,0.5227368950005621,60976,60976,0.0010348000004887581,0.005079360000789165,0.0005321379993110895,0.0004855659995228052
rdfjsdataset,wasm_tree,S,100000,0.7389657259993255,66700,66700,0.026224128000438215,0.0003086489997804165,0.00003390599973499775,0.000013499999418854713
rdfjsdataset,wasm_tree,POG,80000,0.49235373800061644,60464,60464,0.0010381429996341467,0.0050336019992828366,0.0008325159996747971,0.0005370710007846356
rdfjsdataset,tree,POG,500000,5.449456470999866,25088,29012,0.20377232399955392,0.09354909700155258,0.20114720099978148,0.08819632500037551
rdfjsdataset,graphy,POG,100000,0.6458098750002682,80140,84772,0.019551665998995302,0.0174794420003891,0.017260975999757646,0.005358262998983264
rdfjsstore,n3,POG,500000,3.1282419319991024,672816,0,0.06296241699904204,0.073748784000054,0.049668448001146316,0.06001114600151777
rdfjsdataset,wasm_tree,POG,10000,0.10361680800095201,13824,13824,0.00038012100011110305,0.0010640350002795458,0.00007284900173544884,0.0011560910008847714
rdfjsdataset,wrap_tree,POG,10000,0.16978698799945413,9216,9216,0.0035774789992719888,0.009084901999682189,0.0033754879999905825,0.009122787998989225
rdfjsdataset,wasm_tree,S,1000000,5.297838828001171,406184,406184,0.314943778000772,0.0002428480014204979,0.00003558100014925003,0.000013488000258803367
rdfjsstore,n3,S,10000,0.11309493800066411,51652,0,0.003994775999337435,0.0040740929991006855,0.0009393450003117323,0.0009701200015842915
rdfjsdataset,wrap_tree,S,40000,0.5061539609991014,9216,9216,0.01111744000017643,0.0019924720004200936,0.000059537999331951144,0.00023372500017285346
rdfjsstore,wasm_tree,POG,100000,0.5454986140001565,64788,0,0.0016927799992263316,0.015855085998773576,0.0007269250005483627,0.007666782999411225
rdfjsdataset,graphy,POG,20000,0.20332248899899424,33280,33280,0.004534525999799371,0.006718358000740409,0.0036113130003213884,0.0022096260003745555
rdfjsstore,wasm_tree,POG,20000,0.14839428599923848,34212,0,0.0009013800006359815,0.009022441999986768,0.0002092440016567707,0.0028182090017944573
rdfjsstore,wasm_tree,S,1000000,4.447578041000292,390532,0,0.31688514299876985,0.3169737399984151,0.00007322899997234344,0.00010277799889445304
rdfjsstore,n3,S,20000,0.19505531200021506,64052,0,0.002475703001022339,0.0025431740004569292,0.001622630000114441,0.0016517219990491868
rdfjsdataset,wrap_tree,S,10000,0.1595783440005034,9216,9216,0.002664504999294877,0.0018990519996732473,0.00005179999954998493,0.0002342280000448227
rdfjsdataset,wasm_tree,POG,500000,2.552384633999318,226256,217984,0.0067736789993941785,0.015831357000395656,0.0033387020006775854,0.0026108609996736048
rdfjsdataset,graphy,POG,10000,0.11906668099947273,13312,14336,0.002845972999930382,0.0021139139998704193,0.001352946000173688,0.005041575999930501
rdfjsstore,wasm_tree,S,40000,0.2601786169987172,41168,0,0.010792977001518012,0.010952333999797701,0.00007512699998915195,0.00010928699932992458
rdfjsstore,wasm_tree,S,80000,0.4503920579999685,58332,0,0.02112050599977374,0.021212170001119374,0.00008011799864470959,0.00011429999954998493
rdfjsdataset,wrap_tree,S,80000,0.940225271999836,9216,9216,0.022294275000691414,0.001994347000494599,0.00006507200002670289,0.00023961899988353253
rdfjsdataset,tree,POG,100000,1.117828824000433,24576,24576,0.03067552800104022,0.018490281000733376,0.030256659001111984,0.014172421000897885
rdfjsdataset,wrap_tree,S,1000000,10.409281277999282,25600,25600,0.3436197779998183,0.0022295539993792773,0.00007074699923396111,0.00033578700013458726
rdfjsdataset,tree,POG,10000,0.16913185700029135,9216,9216,0.003538374999538064,0.002455485999584198,0.0031371630001813173,0.002091296998783946
rdfjsdataset,wasm_tree,S,80000,0.5812842509988695,60464,60464,0.030690696999430656,0.0003372809998691082,0.00005179399996995926,0.00001943900063633919
rdfjsdataset,tree,POG,1000000,10.668381563998759,25600,42196,0.406628286998719,0.1705905729997903,0.39355501299910245,0.17714645100012422
rdfjsdataset,wasm_tree,S,80000,0.5317770889997482,60464,60464,0.025312100000679492,0.0007894889991730452,0.0001043270006775856,0.00005730699934065342
rdfjsstore,wasm_tree,S,500000,2.181527126001194,214208,0,0.13889950499869883,0.13900324700027705,0.00008866499923169613,0.00012429999932646752
rdfjsdataset,tree,POG,40000,0.4945647919997573,9216,9216,0.013305426999926567,0.009381185000762344,0.012609527001157403,0.006162929998710751
rdfjsdataset,graphy,S,80000,0.5143272670004517,67584,67584,0.0007900229990482331,0.0003159149996936321,0.00003956400044262409,0.000029989000409841537
rdfjsdataset,tree,S,40000,0.49005905899964275,8704,8704,0.011500749999657273,0.00036665899865329267,0.00005322800017893314,0.00002621699869632721
rdfjsstore,n3,POG,40000,0.34322623899951576,90292,0,0.01041490599885583,0.015907518999651073,0.005475409999489784,0.012309720998629928
rdfjsdataset,wasm_tree,S,100000,0.6115998649988323,67212,67212,0.025012168001383544,0.00023800999857485295,0.00003356100060045719,0.000013992000371217728
rdfjsdataset,wrap_tree,S,500000,5.47618595300056,25600,25600,0.15320993199944496,0.002036486001685262,0.00006612999923527241,0.00023733899928629398
rdfjsstore,wasm_tree,POG,1000000,4.494108069999143,390544,0,0.012549011999741197,0.04675968600064516,0.006800985001027584,0.031044226000085474
rdfjsdataset,graphy,S,500000,2.72226464600116,306724,306724,0.0008655469994992017,0.0003211490008980036,0.00004025899991393089,0.000029100999236106872
rdfjsstore,n3,POG,80000,0.5757215229999274,154148,0,0.02485407800041139,0.03128904600068927,0.03435302300006151,0.042112797001376746
rdfjsdataset,wasm_tree,POG,1000000,5.2095615820009264,404648,409288,0.012358079999685287,0.012473531000316142,0.006763051001355052,0.004290981000289321
rdfjsstore,wasm_tree,POG,10000,0.08856445199996232,12188,0,0.0008352989982813596,0.003376239998266101,0.00012230700068175792,0.003862966999411583
