tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,always_forest_wasm_tree,S,1000000,5.1995090180002155,406184,406184,0.3123001480000094,0.00024484399985522033,0.00007293500006198883,0.000019933000206947327
rdfjsdataset,tree,S,1000000,10.709986422999762,25600,25600,0.3395349830002524,0.0006553370002657175,0.00007573299994692206,0.0000336870001628995
rdfjsdataset,wrap_tree,S,1000000,11.480003965000156,25600,25600,0.3372929400000721,0.002218241999857128,0.00007255899999290705,0.0003812250001356006
rdfjsdataset,wasm_tree,S,1000000,5.507834755999967,404648,404648,0.31901361799985173,0.0002484860001131892,0.00003548500034958124,0.000014626000076532365
rdfjsdataset,wrap_tree,S,1000000,11.390647578000092,25600,25600,0.3408147769998759,0.0021873689997009933,0.00007353499997407198,0.00026286699995398523
rdfjsdataset,always_forest_wasm_tree,S,1000000,5.482204289999791,405160,405160,0.3154785460000858,0.0003085810001939535,0.00006885300017893315,0.000019452999811619522
rdfjsdataset,wasm_tree,S,1000000,5.465816997000016,403624,403624,0.31869055100018157,0.0002410340001806617,0.0000327050001360476,0.00001394199999049306
rdfjsdataset,graphy,S,1000000,6.256795247000176,589848,589848,0.0015417969999834895,0.0006219199998304248,0.00007997599989175797,0.0000647030002437532
rdfjsdataset,graphy,S,1000000,5.750115249999799,589848,589848,0.0008292200001887977,0.00032920899987220765,0.0000423999996855855,0.0000311099998652935
rdfjsdataset,wrap_tree,S,1000000,11.18168079000013,25600,25600,0.3462550400001928,0.0022387920003384353,0.00007383099989965558,0.00039594799978658556
rdfjsdataset,wrap_tree,S,1000000,11.26647956100013,24576,24576,0.3432493030000478,0.002420761999674141,0.00007574199978262186,0.0002841759999282658
rdfjsdataset,tree,S,1000000,10.830740387000144,25600,25600,0.34262916499981655,0.0005850980002433062,0.00007548699993640184,0.000031427999958395955
rdfjsdataset,graphy,S,1000000,6.117006936000195,590872,590872,0.0008778359997086227,0.0003221200001426041,0.00004119200026616454,0.000028818000108003617
rdfjsdataset,always_forest_wasm_tree,S,1000000,5.2757862689998,404648,404648,0.31654339500004425,0.00024699500016868117,0.00006972100026905537,0.000019714999943971634
rdfjsdataset,graphy,S,1000000,5.752513704000041,589848,589848,0.0008846449996344746,0.000357694000005722,0.00004802200011909008,0.00003734100004658103
rdfjsdataset,tree,S,1000000,11.26012311499985,25600,25600,0.3467613499998115,0.0003924239999614656,0.00007626800006255507,0.00003141200030222535
rdfjsdataset,graphy,S,1000000,5.759867024000268,590872,590872,0.0008027420002035796,0.00031657700007781386,0.000041172000113874674,0.000031665000133216384
rdfjsdataset,wrap_tree,S,1000000,10.699789936000016,25600,25600,0.3440387829998508,0.0023677100003696976,0.00007232900010421872,0.00038929800037294625
rdfjsdataset,always_forest_wasm_tree,S,1000000,5.4868322560000236,403624,403624,0.320320450999774,0.0003341149999760091,0.0000686269998550415,0.000019462000112980603
rdfjsdataset,tree,S,1000000,10.667346574000083,25600,25600,0.34013382699992506,0.00043426099978387353,0.00007648899964988231,0.00003189900005236268
rdfjsdataset,wasm_tree,S,1000000,5.5152389059998095,403624,403624,0.3152322929999791,0.00024150900030508638,0.00003386700013652444,0.000013857999816536904
rdfjsdataset,always_forest_wasm_tree,S,1000000,5.5158714689998884,405672,405672,0.31451323100039735,0.0002428609998896718,0.00007155200000852346,0.000019669000059366226
rdfjsdataset,wasm_tree,S,1000000,5.517480530000292,406696,406696,0.31977192999981346,0.0002418329999782145,0.0000353139997459948,0.00001382200000807643
rdfjsdataset,wasm_tree,S,1000000,5.762231109999586,405160,405160,0.31433510200027376,0.0003189139999449253,0.000035227000247687104,0.000013898999895900488
rdfjsdataset,wasm_tree,S,1000000,5.2878542260001415,404648,404648,0.32108610100019724,0.0002403110000304878,0.00003684499999508262,0.000013617000076919794
rdfjsdataset,wasm_tree,S,1000000,5.549725680999924,405160,405160,0.32247889999998736,0.00024597800010815263,0.000036285999696701765,0.000013780999928712846
