tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,wrap_tree,S,500000,5.28771690300107,25600,25600,0.1487681610006839,0.001988555999472737,0.00006241000071167946,0.00024158000014722346
rdfjsstore,n3,POG,500000,3.1084019389990716,680140,0,0.06304206200130284,0.07417224600166082,0.048403963001444936,0.05843772900104523
rdfjsstore,n3,S,1000000,6.660569006999955,1269648,0,0.11840055900067091,0.11846170499920845,0.1144242610000074,0.11445452300086617
rdfjsdataset,graphy,S,100000,0.6407005669996142,78604,78604,0.0007817599996924401,0.0003180730007588863,0.000040288999676704404,0.000028472000733017923
rdfjsdataset,wasm_tree,S,500000,2.6087418820001185,216132,216132,0.13980802600085734,0.00024194199964404107,0.000032692998647689816,0.000013290001079440117
rdfjsdataset,wrap_tree,POG,100000,1.1839601920004934,25600,43116,0.03164232500083745,0.06759096300043166,0.030498789001256226,0.06885057900100947
rdfjsstore,n3,POG,40000,0.34808654499985275,88832,0,0.010886071000248194,0.016430866999551656,0.00564334199950099,0.012021176999434828
rdfjsdataset,graphy,S,500000,2.7159145250003784,306212,306212,0.000868809999898076,0.00032130200043320657,0.000041862001642584804,0.0000306089986115694
rdfjsdataset,tree,S,80000,0.9592207229994237,25600,25600,0.02233564499951899,0.0003304980006068945,0.00005830499902367592,0.00003069300018250942
rdfjsstore,n3,POG,20000,0.18708473899960518,64108,0,0.004214447000995278,0.006635080000385642,0.004996084000915289,0.0105174899995327
rdfjsdataset,wrap_tree,POG,40000,0.4784937490001321,9216,15608,0.01298899899981916,0.031371487000957134,0.012686161000281573,0.037826339999213816
rdfjsdataset,wasm_tree,S,100000,0.5950786969996988,65164,65164,0.027828513000160454,0.00023593400046229362,0.00003500499948859215,0.000013540999963879586
rdfjsdataset,wrap_tree,S,20000,0.2929787169992924,9216,9216,0.0056673630010336635,0.002643907999619842,0.00009051399864256382,0.0002877230010926723
rdfjsdataset,tree,POG,500000,5.5282553369998935,25088,30516,0.20069479699991644,0.09124015800096094,0.19693985999934374,0.08871425700001419
rdfjsdataset,tree,POG,10000,0.3442896880004555,9216,9216,0.011592385999858379,0.008160008000209927,0.010947314999997616,0.007108208000659943
rdfjsdataset,graphy,S,100000,0.6210346840005369,80108,80108,0.0008569019995629787,0.0003199909999966621,0.00004149300046265125,0.000028565999120473863
rdfjsdataset,wasm_tree,S,1000000,5.2673717630002646,405160,405160,0.313653315000236,0.00024058100022375585,0.00003375299833714962,0.000013318000361323356
rdfjsdataset,wasm_tree,POG,500000,2.6783608499988913,215108,217972,0.00619225399941206,0.01150000299885869,0.0034987409990280866,0.0023964230008423327
rdfjsdataset,graphy,POG,40000,0.2998237490002066,46080,47616,0.007936538999900222,0.00925654499977827,0.00608980199880898,0.0038300199992954732
rdfjsstore,n3,S,80000,0.5840757839996368,153104,0,0.00833007200062275,0.008404911000281573,0.007478312000632286,0.007515236999839544
rdfjsdataset,wasm_tree,S,500000,2.5854678679984064,216132,216132,0.1401572629995644,0.0002384860012680292,0.000036619000136852263,0.000014419998973608017
